Aix-Marseille,Alpes de Haute-Provence (04)
Aix-Marseille,Bouches du Rhône (13)
Aix-Marseille,Hautes-Alpes (05)
Aix-Marseille,Vaucluse (84)
Amiens,Aisne (02)
Amiens,Oise (60)
Amiens,Somme (80)
Besançon,Franche-Comté (25+39+70+90)
Bordeaux,Aquitaine (24+33+40+47+64)
Bordeaux,Lot (46)
Caen,Calvados (14)
Caen,Manche (50)
Caen,Orne (61)
Clermont-Ferrand,Cantal (15)
Clermont-Ferrand,Haute-Loire (43)
Clermont-Ferrand,Puy de Dôme - Allier (03+63)
Créteil,Seine-et-Marne (77)
Créteil,Seine-Saint-Denis (93)
Créteil,Val de Marne (94)
Dijon,Bourgogne (71+58+21)
Dijon,Yonne (89)
Grenoble,Grenoble (07+26+38+73+74)
Guyane,Guyane (973)
Lille,Nord (59)
Lille,Pas-de-Calais (62)
Limoges,Limousin (19+23+87)
Lyon,Ain (01)
Lyon,Loire (42)
Lyon,Rhône (69)
Mayotte,Mayotte (976)
Montpellier,Gard (30+48)
Montpellier,Hérault (34)
Montpellier,Pyrénées Orientales - Aude (66+11)
Nancy,Lorraine (54+55+57+88)
Nantes,Loire Atlantique (44)
Nantes,Maine et Loire (49)
Nantes,Mayenne (53)
Nantes,Sarthe (72)
Nantes,Vendée (85)
Nice,Alpes Maritimes (06)
Nice,Var (83)
Orléans-Tours,Cher (18)
Orléans-Tours,Indre (36)
Orléans-Tours,Indre et Loire (37)
Orléans-Tours,Loir et Cher (41)
Orléans-Tours,Loiret (45+28)
Paris,Paris (75)
Poitiers,Charente (16)
Poitiers,Charente Maritime (17)
Poitiers,Deux-Sèvres (79)
Poitiers,Vienne (86)
Reims,Champagne-Ardennes (51+08+52+10)
Rennes,Côtes d'Armor (22)
Rennes,Finistère (29)
Rennes,Ile et Vilaine (35)
Rennes,Morbihan (56)
Réunion,Réunion (974)
Rouen,Haute-Normandie (27+76)
Strasbourg,Alsace (67+68)
Toulouse,Ariège (09)
Toulouse,Aveyron (12)
Toulouse,Gers (32)
Toulouse,Haute-Garonne (31+65)
Toulouse,Tarn (81)
Versailles,Essonne (91)
Versailles,Hauts de Seine (92)
Versailles,Val d'Oise (95)
Versailles,Yvelines (78)